dataset,metric,classifier,noise_type,intensity,accuracy
ECG200,wddtw,svm,outlier,0.1,0.665
ECG200,wddtw,1nn,outlier,0.2,0.615
ECG200,wddtw,svm,outlier,0.2,0.7
ECG200,wddtw,1nn,outlier,0.4,0.58
ECG200,wddtw,svm,outlier,0.4,0.675
ECG200,shape_dtw,1nn,jittering,0.0,0.875
ECG200,shape_dtw,svm,jittering,0.0,0.805
ECG200,shape_dtw,1nn,jittering,0.05,0.865
ECG200,shape_dtw,svm,jittering,0.05,0.8
ECG200,shape_dtw,1nn,jittering,0.1,0.875
ECG200,shape_dtw,svm,jittering,0.1,0.81
ECG200,shape_dtw,1nn,jittering,0.2,0.87
ECG200,shape_dtw,svm,jittering,0.2,0.805
ECG200,shape_dtw,1nn,jittering,0.4,0.835
ECG200,shape_dtw,svm,jittering,0.4,0.75
ECG200,shape_dtw,1nn,missing,0.0,0.875
ECG200,shape_dtw,svm,missing,0.0,0.805
ECG200,shape_dtw,1nn,missing,0.05,0.85
ECG200,shape_dtw,svm,missing,0.05,0.78
ECG200,shape_dtw,1nn,missing,0.1,0.82
ECG200,shape_dtw,svm,missing,0.1,0.78
ECG200,shape_dtw,1nn,missing,0.2,0.775
ECG200,shape_dtw,svm,missing,0.2,0.695
ECG200,shape_dtw,1nn,missing,0.4,0.735
ECG200,shape_dtw,svm,missing,0.4,0.68
ECG200,shape_dtw,1nn,outlier,0.0,0.875
ECG200,shape_dtw,svm,outlier,0.0,0.805
ECG200,shape_dtw,1nn,outlier,0.05,0.705
ECG200,shape_dtw,svm,outlier,0.05,0.7
ECG200,shape_dtw,1nn,outlier,0.1,0.605
ECG200,shape_dtw,svm,outlier,0.1,0.685
ECG200,shape_dtw,1nn,outlier,0.2,0.585
ECG200,shape_dtw,svm,outlier,0.2,0.69
ECG200,shape_dtw,1nn,outlier,0.4,0.585
ECG200,shape_dtw,svm,outlier,0.4,0.71
ECG200,euclidean,1nn,jittering,0.0,0.885
ECG200,euclidean,svm,jittering,0.0,0.81
ECG200,euclidean,1nn,jittering,0.05,0.88
ECG200,euclidean,svm,jittering,0.05,0.81
ECG200,euclidean,1nn,jittering,0.1,0.875
ECG200,euclidean,svm,jittering,0.1,0.815
ECG200,euclidean,1nn,jittering,0.2,0.87
ECG200,euclidean,svm,jittering,0.2,0.81
ECG200,euclidean,1nn,jittering,0.4,0.82
ECG200,euclidean,svm,jittering,0.4,0.81
ECG200,euclidean,1nn,missing,0.0,0.885
ECG200,euclidean,svm,missing,0.0,0.81
ECG200,euclidean,1nn,missing,0.05,0.905
ECG200,euclidean,svm,missing,0.05,0.825
ECG200,euclidean,1nn,missing,0.1,0.875
ECG200,euclidean,svm,missing,0.1,0.815
ECG200,euclidean,1nn,missing,0.2,0.835
ECG200,euclidean,svm,missing,0.2,0.815
ECG200,euclidean,1nn,missing,0.4,0.78
ECG200,euclidean,svm,missing,0.4,0.77
ECG200,euclidean,1nn,outlier,0.0,0.885
ECG200,euclidean,svm,outlier,0.0,0.81
ECG200,euclidean,1nn,outlier,0.05,0.745
ECG200,euclidean,svm,outlier,0.05,0.745
ECG200,euclidean,1nn,outlier,0.1,0.7
ECG200,euclidean,svm,outlier,0.1,0.76
ECG200,euclidean,1nn,outlier,0.2,0.63
ECG200,euclidean,svm,outlier,0.2,0.695
ECG200,euclidean,1nn,outlier,0.4,0.63
ECG200,euclidean,svm,outlier,0.4,0.665
ECG200,manhattan,1nn,jittering,0.0,0.93
ECG200,manhattan,svm,jittering,0.0,0.795
ECG200,manhattan,1nn,jittering,0.05,0.93
ECG200,manhattan,svm,jittering,0.05,0.805
ECG200,manhattan,1nn,jittering,0.1,0.905
ECG200,manhattan,svm,jittering,0.1,0.805
ECG200,manhattan,1nn,jittering,0.2,0.885
ECG200,manhattan,svm,jittering,0.2,0.8
ECG200,manhattan,1nn,jittering,0.4,0.82
ECG200,manhattan,svm,jittering,0.4,0.78
ECG200,manhattan,1nn,missing,0.0,0.93
ECG200,manhattan,svm,missing,0.0,0.795
ECG200,manhattan,1nn,missing,0.05,0.9
ECG200,manhattan,svm,missing,0.05,0.805
ECG200,manhattan,1nn,missing,0.1,0.875
ECG200,manhattan,svm,missing,0.1,0.805
ECG200,manhattan,1nn,missing,0.2,0.87
ECG200,manhattan,svm,missing,0.2,0.81
ECG200,manhattan,1nn,missing,0.4,0.775
ECG200,manhattan,svm,missing,0.4,0.775
ECG200,manhattan,1nn,outlier,0.0,0.93
ECG200,manhattan,svm,outlier,0.0,0.795
ECG200,manhattan,1nn,outlier,0.05,0.84
ECG200,manhattan,svm,outlier,0.05,0.785
ECG200,manhattan,1nn,outlier,0.1,0.795
ECG200,manhattan,svm,outlier,0.1,0.765
ECG200,manhattan,1nn,outlier,0.2,0.75
ECG200,manhattan,svm,outlier,0.2,0.765
ECG200,manhattan,1nn,outlier,0.4,0.71
ECG200,manhattan,svm,outlier,0.4,0.775
ECG200,minkowski,1nn,jittering,0.0,0.885
ECG200,minkowski,svm,jittering,0.0,0.81
ECG200,minkowski,1nn,jittering,0.05,0.88
ECG200,minkowski,svm,jittering,0.05,0.81
ECG200,minkowski,1nn,jittering,0.1,0.875
ECG200,minkowski,svm,jittering,0.1,0.815
ECG200,minkowski,1nn,jittering,0.2,0.87
ECG200,minkowski,svm,jittering,0.2,0.81
ECG200,minkowski,1nn,jittering,0.4,0.82
ECG200,minkowski,svm,jittering,0.4,0.81
ECG200,minkowski,1nn,missing,0.0,0.885
ECG200,minkowski,svm,missing,0.0,0.81
ECG200,minkowski,1nn,missing,0.05,0.885
