,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
C(metric)[T.shape_dtw]:C(classifier)[T.svm]:C(noise_type)[T.missing]:C(intensity)[T.0.4],0.013,0.100,0.132,0.895,-0.184,0.210
C(metric)[T.twe]:C(classifier)[T.svm]:C(noise_type)[T.missing]:C(intensity)[T.0.4],0.011,0.100,0.108,0.914,-0.186,0.208
C(metric)[T.wddtw]:C(classifier)[T.svm]:C(noise_type)[T.missing]:C(intensity)[T.0.4],-0.047,0.100,-0.470,0.639,-0.244,0.150
C(metric)[T.wdtw]:C(classifier)[T.svm]:C(noise_type)[T.missing]:C(intensity)[T.0.4],-0.012,0.100,-0.123,0.902,-0.209,0.185
C(metric)[T.ddtw]:C(classifier)[T.svm]:C(noise_type)[T.outlier]:C(intensity)[T.0.4],-0.029,0.100,-0.292,0.770,-0.226,0.168
C(metric)[T.dtw]:C(classifier)[T.svm]:C(noise_type)[T.outlier]:C(intensity)[T.0.4],0.071,0.100,0.705,0.481,-0.126,0.268
C(metric)[T.edr]:C(classifier)[T.svm]:C(noise_type)[T.outlier]:C(intensity)[T.0.4],0.054,0.100,0.535,0.593,-0.143,0.251
C(metric)[T.erp]:C(classifier)[T.svm]:C(noise_type)[T.outlier]:C(intensity)[T.0.4],0.084,0.100,0.838,0.402,-0.113,0.281
C(metric)[T.euclidean]:C(classifier)[T.svm]:C(noise_type)[T.outlier]:C(intensity)[T.0.4],0.038,0.100,0.378,0.706,-0.159,0.235
C(metric)[T.lcss]:C(classifier)[T.svm]:C(noise_type)[T.outlier]:C(intensity)[T.0.4],0.016,0.100,0.158,0.875,-0.181,0.213
C(metric)[T.manhattan]:C(classifier)[T.svm]:C(noise_type)[T.outlier]:C(intensity)[T.0.4],0.186,0.100,1.846,0.065,-0.011,0.383
C(metric)[T.minkowski]:C(classifier)[T.svm]:C(noise_type)[T.outlier]:C(intensity)[T.0.4],0.038,0.100,0.378,0.706,-0.159,0.235
C(metric)[T.msm]:C(classifier)[T.svm]:C(noise_type)[T.outlier]:C(intensity)[T.0.4],0.068,0.100,0.679,0.497,-0.129,0.265
C(metric)[T.sbd]:C(classifier)[T.svm]:C(noise_type)[T.outlier]:C(intensity)[T.0.4],0.036,0.100,0.360,0.719,-0.161,0.233
C(metric)[T.shape_dtw]:C(classifier)[T.svm]:C(noise_type)[T.outlier]:C(intensity)[T.0.4],0.026,0.100,0.256,0.798,-0.171,0.223
C(metric)[T.twe]:C(classifier)[T.svm]:C(noise_type)[T.outlier]:C(intensity)[T.0.4],0.058,0.100,0.578,0.563,-0.139,0.255
C(metric)[T.wddtw]:C(classifier)[T.svm]:C(noise_type)[T.outlier]:C(intensity)[T.0.4],-0.054,0.100,-0.541,0.588,-0.251,0.143
C(metric)[T.wdtw]:C(classifier)[T.svm]:C(noise_type)[T.outlier]:C(intensity)[T.0.4],0.060,0.100,0.597,0.551,-0.137,0.257
dataset Var,0.019,0.055,,,,
