metric,noise_type,contrast,diff,SE,z,p_raw,CI_low,CI_high,p_fdr
euclidean,missing,I0.4-I0.0,-0.251504,0.035529,-7.0788,0.0,-0.321142,-0.181867,0.0
euclidean,missing,linear_trend,-0.556532,0.079446,-7.0052,0.0,-0.712245,-0.400818,0.0
euclidean,outlier,I0.05-I0.0,-0.269756,0.035529,-7.5925,0.0,-0.339393,-0.200118,0.0
euclidean,outlier,I0.1-I0.0,-0.346928,0.035529,-9.7646,0.0,-0.416566,-0.277291,0.0
euclidean,outlier,I0.2-I0.0,-0.420617,0.035529,-11.8386,0.0,-0.490255,-0.35098,0.0
euclidean,outlier,I0.4-I0.0,-0.423306,0.035529,-11.9143,0.0,-0.492943,-0.353668,0.0
euclidean,outlier,linear_trend,-0.825353,0.079446,-10.3889,0.0,-0.981067,-0.669639,0.0
lcss,jittering,I0.05-I0.0,0.00958,0.035529,0.2696,0.787432,-0.060057,0.079218,0.8053281818181819
lcss,jittering,I0.1-I0.0,0.024959,0.035529,0.7025,0.482372,-0.044678,0.094596,0.5107468235294118
lcss,jittering,I0.2-I0.0,0.044271,0.035529,1.2461,0.212745,-0.025366,0.113909,0.23208545454545454
lcss,jittering,I0.4-I0.0,0.020459,0.035529,0.5758,0.564724,-0.049178,0.090096,0.5944463157894737
lcss,jittering,linear_trend,0.051224,0.079446,0.6448,0.519082,-0.10449,0.206937,0.519082
lcss,missing,I0.05-I0.0,0.013795,0.035529,0.3883,0.697823,-0.055843,0.083432,0.7218858620689654
lcss,missing,I0.1-I0.0,-0.002457,0.035529,-0.0691,0.944876,-0.072094,0.067181,0.944876
lcss,missing,I0.2-I0.0,-0.018839,0.035529,-0.5302,0.595948,-0.088476,0.050798,0.6200615028901735
lcss,missing,I0.4-I0.0,-0.066911,0.035529,-1.8833,0.059666,-0.136548,0.002727,0.0745825
lcss,missing,linear_trend,-0.189262,0.079446,-2.3823,0.017206,-0.344976,-0.033548,0.017597045454545455
lcss,outlier,I0.05-I0.0,-0.003195,0.035529,-0.0899,0.928342,-0.072832,0.066442,0.9335282681564245
lcss,outlier,I0.1-I0.0,-0.012596,0.035529,-0.3545,0.722954,-0.082233,0.057042,0.7436098285714285
lcss,outlier,I0.2-I0.0,-0.051837,0.035529,-1.459,0.144563,-0.121475,0.0178,0.16365622641509434
lcss,outlier,I0.4-I0.0,-0.098555,0.035529,-2.7739,0.005539,-0.168192,-0.028917,0.00797616
lcss,outlier,linear_trend,-0.262812,0.079446,-3.3081,0.000939,-0.418526,-0.107098,0.0010060714285714284
manhattan,jittering,I0.05-I0.0,-0.052743,0.035529,-1.4845,0.13768,-0.12238,0.016895,0.1578496815286624
manhattan,jittering,I0.1-I0.0,-0.073632,0.035529,-2.0724,0.038225,-0.143269,-0.003994,0.05096666666666667
manhattan,jittering,I0.2-I0.0,-0.132307,0.035529,-3.7239,0.000196,-0.201944,-0.062669,0.00035279999999999996
manhattan,jittering,I0.4-I0.0,-0.212524,0.035529,-5.9817,0.0,-0.282162,-0.142887,0.0
manhattan,jittering,linear_trend,-0.507905,0.079446,-6.3931,0.0,-0.663619,-0.352192,0.0
manhattan,missing,I0.05-I0.0,-0.054749,0.035529,-1.541,0.123328,-0.124386,0.014888,0.1432196129032258
manhattan,missing,I0.1-I0.0,-0.070903,0.035529,-1.9956,0.045975,-0.14054,-0.001266,0.05911071428571429
manhattan,missing,I0.2-I0.0,-0.099739,0.035529,-2.8072,0.004997,-0.169377,-0.030102,0.007312682926829268
manhattan,missing,I0.4-I0.0,-0.187649,0.035529,-5.2815,0.0,-0.257286,-0.118012,0.0
manhattan,missing,linear_trend,-0.428792,0.079446,-5.3973,0.0,-0.584505,-0.273078,0.0
manhattan,outlier,I0.05-I0.0,-0.139655,0.035529,-3.9307,8.5e-05,-0.209292,-0.070018,0.00016451612903225807
manhattan,outlier,I0.1-I0.0,-0.230702,0.035529,-6.4933,0.0,-0.300339,-0.161065,0.0
